"Name of Satellite, Alternate Names",Country of Owner,Owner,Users,Purpose,Class of Orbit,Date of Launch,Launch Site,Coordinates,Launch Vehicle
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,11-08-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane
DirecTV-12,USA,"DirecTV, Inc.",Commercial,Communications,GEO,29-12-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane  5 ECA
Nimiq 5,Canada,Echostar Corporation (entire payload leased from Telesat Canada Ltd.),Commercial,Communications,GEO,17-09-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 4
Eutelsat 36B (Eutelsat W-7),France,Eutelsat S.A.,Commercial,Communications,GEO,24-11-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 4
SkyTerra 1,USA,LightSquared,Commercial,Communications,GEO,14-11-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 4
"SES-7 (Protostar 2, Indostar 2)",USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,16-05-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 4
Nimiq 6,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,18-05-12,Baikonur Cosmodrome,45.8595;63.3134,Ariane 4
Saudicomsat-4,Saudi Arabia,Riyadh Space Research Institute,Commercial,Communications,LEO,17-04-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 4
Saudicomsat-5,Saudi Arabia,Riyadh Space Research Institute,Commercial,Communications,LEO,17-04-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 42L
Saudicomsat-6,Saudi Arabia,Riyadh Space Research Institute,Commercial,Communications,LEO,17-04-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 42L
Saudicomsat-7,Saudi Arabia,Riyadh Space Research Institute,Commercial,Communications,LEO,17-04-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 42L
"Saudisat 1C (Oscar 50, SO 50)",Saudi Arabia,"Space Research Institute, King Abdulaziz City for Science and Technology",Government,Communications,LEO,20-12-02,Baikonur Cosmodrome,45.8595;63.3134,Ariane 42P
AprizeSat 3 ,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,29-07-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 42P
AprizeSat 4 ,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,29-07-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
Nanosat-1B,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Government,Communications/Technology Development,LEO,29-07-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
RapidEye-1 (RapidEye-C),Germany,RapidEye AG,Commercial,Earth Observation,LEO,29-08-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
RapidEye-2 (RapidEye A),Germany,RapidEye AG,Commercial,Earth Observation,LEO,29-08-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
RapidEye-3 (RapidEye D),Germany,RapidEye AG,Commercial,Earth Observation,LEO,29-08-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
RapidEye-4 (RapidEye E),Germany,RapidEye AG,Commercial,Earth Observation,LEO,29-08-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
RapidEye-5 (RapidEye B),Germany,RapidEye AG,Commercial,Earth Observation,LEO,29-08-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
Deimos 1,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,LEO,29-07-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
DubaiSat-1,United Arab Emirates,Emirates Institution for Advanced Science & Technology (EIAST),Government,Earth Observation,LEO,29-07-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
Cryosat-2 ,Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency (ESA),Government,Earth Observation,LEO,08-04-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
TanDEM-X (TerraSAR-X add-on for Digital Elevation Measurement),Germany,German Aerospace Center (DLR)/Astrium,Government,Earth Observation,LEO,21-06-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
Saudisat-3 ,Saudi Arabia,Riyadh Space Research Institute,Government,Earth Observation,LEO,17-04-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
"UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2)",United Kingdom,UK/DMC International Imaging (DMCII),Government,Earth Observation,LEO,29-07-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
TerraSAR-X 1 (Terra Synthetic Aperture Radar X-Band),Germany,German Aerospace Center (DLR)/Infoterra,Government/Commercial,Earth Observation,LEO,15-06-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
Reimei (Innovative Technology Demonstration Experiment Satellite - INDEX),Japan,Institute of Space and Astronautical Science (ISAS)/Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,LEO,23-08-05,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
Saudicomsat-3,Saudi Arabia,Riyadh Space Research Institute,Commercial,Communications,LEO,17-04-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
AprizeSat 1 (LatinSat-C),Argentina,Aprize Satellites Argentina,Commercial,Communications/Technology Development,LEO,29-06-04,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
AprizeSat 2 (LatinSat-D),Argentina,Aprize Satellites Argentina,Commercial,Communications/Technology Development,LEO,29-06-04,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
Saudisat-2 ,Saudi Arabia,Riyadh Space Research Institute,Government,Earth Observation,LEO,29-06-04,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
Saudicomsat-1,Saudi Arabia,Riyadh Space Research Institute,Commercial,Technology Development,LEO,29-06-04,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
Saudicomsat-2 ,Saudi Arabia,Riyadh Space Research Institute,Commercial,Technology Development,LEO,29-06-04,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44L
LatinSat A,Argentina,Aprize Satellites Argentina,Commercial,Communications,LEO,20-12-02,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44LP
LatinSat B ,Argentina,Aprize Satellites Argentina,Commercial,Communications,LEO,20-12-02,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44LP
Integral (INTErnational Gamma-Ray Astrophysics Laboratory),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada/USA/Russia,European Space Operations Centre (ESOC)/NASA/Russia,Government,Space Science,Elliptical,17-10-02,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44LP
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Bermuda,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,26-09-99,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44LP
Garuda-1 (Aces 1),Indonesia/Philippines/Thailand,Asia Cellular Satellite,Commercial,Communications,GEO,12-02-00,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44LP
Echostar 8 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,21-08-02,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44LP
Eutelsat KA-SAT 9A (KA-SAT),France,Eutelsat S.A.,Commercial,Communications,GEO,26-12-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44LP
Eutelsat Hot Bird 13E (Eutelsat 9B),France,Eutelsat S.A.,Commercial,Communications,GEO,29-01-16,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44LP
INMARSAT 3 F2 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,06-09-96,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44LP
Intelsat 10-02 (Thor 4),USA,"Intelsat, S.A.",Commercial,Communications,GEO,16-06-04,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44LP
Intelsat 22,USA,"Intelsat, S.A.",Commercial,Communications,GEO,25-03-12,Baikonur Cosmodrome,45.8595;63.3134,Ariane 44P
Intelsat 31/DLA 2,USA,"Intelsat, S.A.",Commercial,Communications,GEO,09-06-16,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Intelsat 10 (PAS-10),USA,"PanAmSat (Intelsat, S.A.)",Commercial,Communications,GEO,14-05-01,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Nimiq 2 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,29-12-02,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Nimiq 4,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,19-09-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Telstar 14R (Estrela do Sul 2),Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,20-05-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Turksat 4A,Turkey,Turksat,Commercial,Communications,GEO,14-02-14,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Turksat 4B,Turkey,Turksat,Commercial,Communications,GEO,16-10-15,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Badr 5 (Arabsat 5B),Saudi Arabia/Kuwait/Libya/Qatar/United Arab Emirates/Jordan/Lebanon/Bahrain/Syria/Iraq/Algeria/Yemen/Egypt/Oman/Tunisia/Morocco/Sudan/Mauritania/Palestinian Authority/Somalia/Djibouti,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,03-06-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
International Space Station (ISS [first element Zarya]),USA/Russia,NASA/Russia Space Agency(RSA),Government,Space Science,LEO,20-11-98,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Arabsat 7F (Nimiq 1) ,Saudi Arabia/Kuwait/Libya/Qatar/United Arab Emirates/Jordan/Lebanon/Bahrain/Syria/Iraq/Algeria/Yemen/Egypt/Oman/Tunisia/Morocco/Sudan/Mauritania/Palestinian Authority/Somalia/Djibouti,Arab Satellite Communications Org. (ASCO),Commercial,Communications,GEO,20-05-99,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Astra 1H ,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,18-06-99,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Express-AM8,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,14-09-15,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Sirius 1 (SD Radio 1),USA,Sirius XM Holdings,Commercial,Communications,Elliptical,30-06-00,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Sirius 2 (SD Radio 2),USA,Sirius XM Holdings,Commercial,Communications,Elliptical,05-09-00,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Sirius 3 (SD Radio 3),USA,Sirius XM Holdings,Commercial,Communications,Elliptical,30-11-00,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
AsiaSat-3S (Asiasat 3SA),China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,GEO,21-03-99,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
DirecTV-5 (Tempo 1),USA,"DirecTV, Inc.",Commercial,Communications,GEO,07-05-02,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",France,Eutelsat S.A.,Commercial,Communications,GEO,17-04-00,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Yamal-202 ,Russia,Gazprom Space Systems,Commercial,Communications,GEO,24-11-03,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",USA,"Intelsat, Ltd. ",Commercial,Communications,GEO,24-05-97,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",USA,"Intelsat, S.A.",Commercial,Communications,GEO,28-08-97,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Intelsat 904 ,USA,"Intelsat, S.A.",Commercial,Communications,GEO,23-02-02,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Intelsat 8 (IS-8, PAS-8) ",USA,"PanAmSat (Intelsat, S.A.)",Commercial,Communications,GEO,04-11-98,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Express-A1R (Express 4A, Ekspress-A No. 4)",Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,10-06-02,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Express-AM2,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,29-03-05,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Express-AM3,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,24-06-05,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Express AM22 (Sesat 2),Russia/France,Russian Satellite Communications Company (Intersputnik)/EUTELSAT,Commercial,Communications,GEO,28-12-03,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Astra 1F ,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,18-04-96,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Astra 1G ,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,02-12-97,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Astra 2A ,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,30-08-98,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Astra 2C ,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,16-06-01,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"NSS-11 (Worldsat-1, AAP-1, GE-1A) ",Netherlands,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,02-10-00,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"AMC-6 (Americom-6, GE-6)",USA,SES World Skies,Commercial,Communications,GEO,22-10-00,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"AMC-9 (Americom 9, GE-12)",USA,SES World Skies,Commercial,Communications,GEO,07-06-03,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Raduga 1-8 (Raduga 1-M1, Cosmos 2450)",Russia,Ministry of Defense,Military,Communications,GEO,28-02-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 10 (Iridium SV010),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,18-06-97,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 12 (Iridium SV012),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,18-06-97,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 13 (Iridium SV013),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,18-06-97,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 30 (Iridium SV030),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,14-09-97,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 31 (Iridium SVO31),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,14-09-97,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 32 (Iridium  SV032),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,14-09-97,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 62 (Iridium SV062),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,07-04-98,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 64 (Iridium SV064),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,07-04-98,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 65 (Iridium SV065),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,07-04-98,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 66 (Iridium SV066),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,07-04-98,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 67 (Iridium SV067),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,07-04-98,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Iridium 68 (Iridium SV068),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,07-04-98,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
Glonass 714 (Cosmos 2419),Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,25-12-05,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Glonass 715 (Glonass 35-1, Cosmos 2424)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,25-12-06,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Glonass 716 (Glonass 35-2, Cosmos 2425)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,25-12-06,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Glonass 717 (Glonass 35-3, Cosmos 2426)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,25-12-06,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Glonass 719 (Glonass 36-2, Cosmos 2432)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,26-10-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
"Glonass 720 (Glonass 36-3, Cosmos 2433)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,26-10-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5
AsiaSat-7,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,GEO,25-11-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Ciel-2,Canada,Ciel Satellite Group,Commercial,Communications,GEO,10-12-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
DirecTV-10,USA,"DirecTV, Inc.",Commercial,Communications,GEO,07-07-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Echostar 14,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,20-03-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Echostar 15,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,10-07-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Echostar 16,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,20-11-12,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Eutelsat 10A (Eutelsat W-2A),France,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,03-04-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Eutelsat 117 West A (Eutelsat 8 West C, Satmex 8)",USA,Eutelsat Americas,Commercial,Communications,GEO,26-03-13,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Eutelsat 7A (Eutelsat W3A) ,France,Eutelsat S.A.,Commercial,Communications,GEO,15-03-04,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)",France,Eutelsat S.A.,Commercial,Communications,GEO,29-12-05,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Eutelsat 7B ,France,Eutelsat S.A.,Commercial,Communications,GEO,14-05-13,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Yamal-300K,Russia,Gaxprom Space Systems,Commercial,Communications,GEO,02-11-12,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Yamal-402,Russia,Gazprom Space Systems,Commercial,Communications,GEO,08-12-12,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Yamal-401,Russia,Gazprom Space Systems,Commercial,Communications,GEO,15-12-14,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Amazonas-1 ,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,04-08-04,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
INMARSAT 4 F3,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,18-08-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
INMARSAT 5 F1,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,08-12-13,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
INMARSAT 5 F2,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,01-02-15,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
INMARSAT 5 F3,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,28-08-15,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Intelsat 16 (IS-16),USA,"Intelsat, S.A.",Commercial,Communications,GEO,12-02-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Measat 3 (Malaysia East Asia Sat 3),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,11-12-06,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Express AMU1 (Eutelsat 36C),Russia,Russian Satelite Communications Company (Intersputnik),Commercial,Communications,GEO,24-12-15,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Express-AM33,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,28-01-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Express-AM44,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,11-02-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Express-AM5,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,26-12-13,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Express-AT1,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,15-03-14,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Express-AT2,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,15-03-14,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Express-AM6,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,21-10-14,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Express-AM7,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,18-03-15,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Astra 1M,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,05-11-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Astra 2E,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,29-09-13,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Sirius 4 (Astra 4A),Sweden,SES Sirius AB,Commercial,Communications,GEO,17-11-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
AMC-15 (Americom-15),USA,SES World Skies,Commercial,Communications,GEO,14-10-04,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
SES-1 (AMC-4R),USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,24-04-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
SES-3,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,15-07-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
SES-4,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,14-02-12,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"SES-5 (Sirius 5, Astra 4B)",USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,09-07-12,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
SES-6,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,03-06-13,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
QuetzSat-1,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]) -- total capacity leased to subsidiary of EchoStar Corp. ,Commercial,Communications,GEO,29-09-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Sirius FM-5,USA,Sirius XM Holdings,Commercial,Communications,GEO,30-06-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Sirius XM-5,USA,Sirius XM Holdings,Commercial,Communications,GEO,14-10-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Sirius FM-6,USA,Sirius XM Holdings,Commercial,Communications,GEO,25-10-13,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Thor-5 (Thor 2R),Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,11-02-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,09-09-05,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,09-04-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,15-04-13,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
ViaSat-1,USA,"ViaSat, Inc.",Commercial,Communications,GEO,19-10-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Badr 4 (Arabsat 4B),Saudi Arabia/Kuwait/Libya/Qatar/United Arab Emirates/Jordan/Lebanon/Bahrain/Syria/Iraq/Algeria/Yemen/Egypt/Oman/Tunisia/Morocco/Sudan/Mauritania/Palestinian Authority/Somalia/Djibouti,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,08-11-06,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Luch 5A,Russia,Russian Federal Space Agency,Government,Communications,GEO,11-12-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Luch 5B,Russia,Russian Federal Space Agency,Government,Communications,GEO,02-11-12,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Luch 5V,Russia,Russian Federal Space Agency,Government,Communications,GEO,28-04-14,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Raduga 1-M2 (Raduga 1-9),Russia,Ministry of Defense,Military,Communications,GEO,28-01-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Garpun-1 (Cosmos 2473),Russia,Ministry of Defense,Military,Communications,GEO,20-09-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Raduga 1-M3 ,Russia,Ministry of Defense,Military,Communications,GEO,11-11-13,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Luch/Olympus,Russia,Ministry of Defense,Military,Communications,GEO,27-09-14,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Garpun-12L (Cosmos 2513),Russia,Ministry of Defense,Military,Communications,GEO,10-12-15,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
Yahsat-1B (Y1B),United Arab Emirates,Al Yah Satellite Communications Company (YAHSAT),Military/Commercial,Communications,GEO,23-04-12,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
